Freq  (Hz) 	 Gain (Linear)  	 Phase (deg)
 10,058              0,049             63,704
 10,245              0,050             63,522
 10,431              0,051             63,373
 10,803              0,052             63,096
 10,990              0,053             62,948
 11,176              0,054             62,819
 11,548              0,056             62,520
 11,735              0,057             62,405
 12,107              0,059             62,118
 12,293              0,059             61,997
 12,666              0,061             61,727
 12,852              0,062             61,603
 13,225              0,064             61,318
 13,411              0,065             61,197
 13,784              0,066             60,905
 14,156              0,068             60,634
 14,529              0,070             60,346
 14,715              0,070             60,237
 15,087              0,072             59,985
 15,460              0,074             59,685
 15,832              0,075             59,444
 16,205              0,077             59,190
 16,578              0,079             58,919
 16,950              0,080             58,666
 17,323              0,082             58,412
 17,695              0,084             58,180
 18,254              0,086             57,794
 18,626              0,088             57,535
 18,999              0,090             57,257
 19,558              0,092             56,903
 19,930              0,094             56,659
 20,489              0,096             56,234
 20,862              0,098             56,012
 21,420              0,100             55,632
 21,793              0,102             55,381
 22,352              0,104             55,019
 22,911              0,107             54,641
 23,469              0,109             54,302
 24,028              0,111             53,877
 24,587              0,114             53,574
 25,146              0,116             53,189
 25,705              0,118             52,855
 26,263              0,121             52,446
 27,008              0,124             51,996
 27,567              0,126             51,619
 28,126              0,128             51,304
 28,871              0,131             50,812
 29,430              0,133             50,479
 30,175              0,136             49,956
 30,920              0,139             49,567
 31,665              0,142             49,080
 32,410              0,145             48,591
 33,155              0,148             48,154
 33,900              0,151             47,731
 34,645              0,154             47,263
 35,390              0,156             46,811
 36,322              0,160             46,219
 37,067              0,162             45,822
 37,998              0,166             45,295
 38,929              0,169             44,742
 39,861              0,172             44,187
 40,792              0,176             43,694
 41,723              0,179             43,121
 42,655              0,182             42,634
 43,586              0,185             42,135
 44,703              0,189             41,473
 45,635              0,192             40,945
 46,752              0,196             40,377
 47,870              0,199             39,785
 48,988              0,203             39,187
 50,105              0,206             38,578
 51,223              0,210             38,000
 52,527              0,214             37,335
 53,644              0,217             36,801
 54,948              0,221             36,142
 56,252              0,224             35,553
 57,556              0,228             34,889
 58,860              0,231             34,312
 60,163              0,235             33,593
 61,654              0,239             32,973
 63,144              0,243             32,216
 64,634              0,247             31,554
 66,124              0,250             30,904
 67,614              0,254             30,260
 69,104              0,257             29,652
 70,781              0,261             28,918
 72,457              0,265             28,229
 74,133              0,269             27,529
 75,810              0,272             26,862
 77,672              0,276             26,106
 79,349              0,280             25,407
 81,211              0,283             24,672
 83,260              0,287             24,005
 85,123              0,291             23,259
 87,172              0,295             22,458
 89,034              0,298             21,880
 91,270              0,302             21,101
 93,319              0,305             20,312
 95,554              0,309             19,657
 97,789              0,313             18,814
100,024              0,316             18,175
102,259              0,319             17,494
104,681              0,323             16,633
107,102              0,326             16,041
109,710              0,330             15,081
112,131              0,333             14,430
114,739              0,336             13,782
117,533              0,339             13,042
120,141              0,342             12,368
122,935              0,346             11,457
125,915              0,349             10,742
128,895              0,352             10,061
131,875              0,355              9,349
134,856              0,358              8,639
138,022              0,361              7,878
141,189              0,363              7,178
144,541              0,366              6,440
147,894              0,369              5,627
151,433              0,372              4,905
154,972              0,375              4,121
158,511              0,376              3,655
162,236              0,378              3,082
165,962              0,379              2,497
169,873              0,380              1,894
173,785              0,381              1,340
177,883              0,382              0,771
181,980              0,383              0,178
186,265              0,384             -0,464
190,549              0,385             -1,008
195,019              0,386             -1,641
199,489              0,386             -2,267
204,146              0,387             -2,892
208,989              0,387             -3,518
213,832              0,388             -4,136
218,861              0,388             -4,796
223,890              0,388             -5,423
229,105              0,389             -6,086
234,507              0,389             -6,738
239,909              0,389             -7,399
245,497              0,389             -8,062
251,271              0,388             -8,722
257,045              0,388             -9,389
263,005              0,388            -10,059
269,152              0,388            -10,739
275,485              0,387            -11,433
281,818              0,387            -12,115
288,337              0,386            -12,811
295,043              0,385            -13,503
301,935              0,384            -14,208
309,013              0,384            -14,918
316,277              0,383            -15,637
323,541              0,382            -16,346
331,178              0,380            -17,080
338,815              0,379            -17,792
346,825              0,378            -18,532
354,834              0,376            -19,261
363,030              0,375            -19,994
371,598              0,373            -20,738
380,166              0,372            -21,469
389,107              0,370            -22,222
398,047              0,368            -22,966
407,360              0,366            -23,712
416,860              0,364            -24,473
426,546              0,362            -25,225
436,604              0,360            -25,994
446,662              0,358            -26,747
457,093              0,356            -27,511
467,710              0,353            -28,276
478,700              0,351            -29,048
489,689              0,348            -29,813
501,238              0,346            -30,584
512,786              0,343            -31,349
524,893              0,340            -32,133
537,001              0,337            -32,887
549,480              0,334            -33,662
562,333              0,332            -34,430
575,371              0,328            -35,192
588,782              0,325            -35,967
602,566              0,322            -36,732
616,536              0,319            -37,492
630,878              0,316            -38,259
645,593              0,312            -39,029
660,680              0,309            -39,786
676,140              0,306            -40,548
691,786              0,302            -41,300
707,991              0,299            -42,057
724,383              0,295            -42,800
741,333              0,292            -43,554
